"Date","AKS","AM","COG","CPE","D","DVN","EQT","ESV","FOXF","GIG","GPOR","HES","MTDR","PE","PRAH","QEP","SABR","SE","SPWH","SRC","SWN","SYRG","WGP","USO","SPY"
"2016-08-09",14042400,136400,5897900,6723800,7438500,4908000,1107100,5213000,1613100,358700,2217200,2664400,1889700,3024900,482100,3957400,3821900,3119700,445100,6420400,10589600,8103200,291600,25557700,51251700
"2016-08-08",8595400,537700,5038700,4459600,2588700,9180300,1580800,9088000,247400,493500,3972000,3595200,1484600,3247700,471200,3221000,5122900,3006100,156700,6481300,9956800,6653400,140400,28890900,39906500
"2016-08-05",5684700,356500,3785700,3850300,2437400,6639500,1671800,8339200,310700,904100,5784700,3479600,1635300,3519400,330600,4259100,1957100,4369300,563200,6429300,10179200,9068800,127900,30849000,71892200
"2016-08-04",8521200,247400,5710900,3294000,2221600,9601100,1797200,8141000,324600,557300,7343400,5349900,4633900,10357100,554500,4547100,3452400,3856100,314100,9663300,13277600,4512100,169600,30240600,46585500
"2016-08-03",12967800,521700,6285300,4572000,2761900,11775400,1418800,8981600,65500,838500,1913000,6177000,1900800,3265200,732400,4533300,3987700,6660000,574700,5383200,11546500,4909100,100400,36429700,53993600
"2016-08-02",9399200,436500,5258600,2858900,2628300,9254100,1792400,6080200,182600,355200,1463600,4733200,2461900,2900400,541100,6340200,17982800,4278800,358000,8077900,9420700,4128700,200000,30293900,92295500
"2016-08-01",11465700,474100,7873800,3147600,1771400,8791900,1971700,10156000,89200,528600,1940800,5623200,1469300,2152500,1060200,5126100,3374300,4303800,495100,3859500,12925800,4215600,276600,37967800,73311400
"2016-07-29",9471700,207700,9824800,2712000,3357600,10235300,2231300,8272000,168400,1773500,1794300,4098000,1589800,2186800,2232400,7931800,2701200,9551000,349200,5768800,18517500,5684400,276000,25507500,79519400
"2016-07-28",15419800,239700,7661000,2232600,2360800,6028500,2573300,11790200,115000,435700,1912600,5308100,1836400,3211700,498900,6887600,2669100,2247400,754800,10318500,11391800,8651700,390100,28370400,65035700
"2016-07-27",39653100,1904500,5437000,3654900,2878000,11405300,1781300,7721300,125000,506000,1956400,9367200,1906500,2727900,332500,6059700,2275700,4016600,718000,7247900,10882200,3298900,351500,28954700,84083900
"2016-07-26",34145900,175800,5739400,3642300,2102000,11555500,1052700,4860100,251300,1073800,1822500,3789100,1161300,2985600,329700,4225900,1757900,3078800,952200,3137600,12143100,2443300,311700,23818200,70080500
"2016-07-25",16891900,209700,7709400,3288900,1694100,6405100,1083000,9228500,111400,943000,2100500,4099400,1262000,2777200,235800,4702200,5512000,3315200,979700,1675400,14934100,3431300,245500,24337300,55873100
"2016-07-22",8596000,317100,6299700,2302300,1580500,4792500,834000,7779200,150800,484100,1447200,2773400,1025200,2738700,191600,4017800,1873000,2213100,335400,2114700,36629100,2728100,199400,22494200,62787500
"2016-07-21",8922400,417700,6193400,2676100,1618600,5794200,1092200,6997400,190700,363200,1586600,1917600,1682300,1941200,175500,4095800,4264000,2929200,239200,1760100,17595400,3781700,382000,20343800,67777300
"2016-07-20",10580200,340700,4250500,2799500,1408500,6062000,943500,5836400,98200,333800,1943400,3171000,1755400,1538900,412800,3110500,1739200,2145600,262300,2223500,15158500,4458500,183300,26551900,58159500
"2016-07-19",13387400,195100,2543100,1957900,1495200,5817200,1398900,7056400,92000,304400,2509100,2305200,1503400,1418300,201000,2064500,985000,3145000,221800,2292400,11198400,2359700,145500,17785400,54345700
"2016-07-18",11206100,187300,2988100,2072800,1521400,5425600,853400,4724100,97200,278400,1395900,2802700,941800,1469900,137100,2847300,1219600,4427600,475500,2335100,8382500,2353900,299900,19842200,58725900
"2016-07-15",9715400,177000,2783200,1741000,1926000,5250900,1845700,3806200,206000,409700,4432400,3409300,1079700,1564200,257000,4226400,2452800,2955300,307700,3128300,8584600,2934900,139200,23656100,107155400
"2016-07-14",14462700,231200,2515900,2592600,2250900,6364100,1271600,5802500,317100,762000,2475100,2839500,1020400,1913900,386200,6340400,1818300,3578800,401600,2431800,9969200,2607600,148700,21465900,91230900
"2016-07-13",9096200,565800,3990200,3092300,2352000,6592900,1919000,8041800,327700,423800,1383900,4019900,1344600,2693200,344900,7546400,1636100,4777700,323200,3658800,11969900,3279700,195700,34345300,87324100
"2016-07-12",15465500,535700,4477700,3940800,2060400,8801300,1040400,9219700,72600,589500,1678700,4561700,1297900,2605400,235600,7138700,2416900,3433300,520100,4978400,19850100,4700400,224700,30624700,101275600
"2016-07-11",10683400,321400,3111400,2820700,1831500,5611900,740400,6800700,83500,735200,1418700,2337000,1171800,3118400,255900,2925900,1694600,4022000,537100,2536500,13810600,2948500,296500,16805900,73633900
"2016-07-08",9313500,283800,4312700,4170400,2259200,5699800,1450400,10487100,143200,555900,1618300,3259200,1532700,2615100,397500,4928000,2566400,3450800,931000,7112500,24530300,5820900,234900,21540700,133971000
"2016-07-07",6350000,269400,4924100,2587800,2572000,7558900,1701000,8338100,69600,438900,2477100,4218100,1371100,3572300,432600,6968600,1843100,4565600,569100,9247900,18712300,5478600,246500,36315500,85593800
"2016-07-06",5382400,427300,3299900,2036800,2949100,6966500,1585000,8346500,61900,269900,1705900,3065100,1157200,4268800,288700,8057200,2783300,7431700,645000,6471300,16457200,3912700,253200,17436200,96021500
"2016-07-05",8224300,258800,4296400,3399500,2470200,6408600,1933200,7116800,87900,578900,1973900,4089100,1565900,2558600,282600,3669300,2766000,5848400,426400,6150800,21726500,8293600,263300,30162300,109803700
"2016-07-01",9278400,407700,5015500,3278700,2212300,7255300,1171200,7729300,64900,886000,1208700,3315600,1308100,1581500,262000,4132800,2438500,3591200,706600,5269400,20293100,6938400,200700,20567100,106055300
"2016-06-30",8583000,549600,5241400,5812400,3348200,6254100,1302900,12436100,576200,620400,1585100,11904700,3336400,2345200,566300,5213100,2920200,5109300,505400,4867100,26669400,4366900,819800,22048700,165021900
"2016-06-29",11704300,304800,5448100,3696400,2847700,6788500,1746300,10797300,118500,776500,2433800,3837600,2292300,2308700,464200,6754500,2669100,4817300,259100,6123800,93293200,4818300,761800,24821700,137328600
"2016-06-28",11180000,346600,5681900,3937700,5903800,8328700,1599600,8081600,79000,828200,2036600,4226900,2144700,2492900,360900,4242700,2710000,3938100,353500,4831500,16598000,4186400,600500,23383000,159382400
"2016-06-27",10924000,603600,4694900,4529500,3362700,15020900,1890400,9394900,123600,2538000,2489400,6076000,1378500,5228400,515700,7811900,5359900,5152300,505600,4437700,11682800,4489400,638600,24678900,230775800
"2016-06-24",18647500,725700,6339600,6632300,4332900,18759500,1680200,8024900,787200,6563700,2266700,4830300,2430900,11217900,1139200,8290500,9633500,7093100,1630900,6543900,21478800,4298900,418800,32784500,333444400
"2016-06-23",7841500,659800,2472300,1999500,1412600,5841200,1278200,7841200,82200,1553400,2099000,2501400,857000,1944300,483000,9025400,3367900,3299400,190000,1801100,8525000,3435400,941600,18947500,102731400
"2016-06-22",9823300,545200,3254700,1861200,1795600,6678300,1844600,5844200,109100,907800,1606300,1880500,594000,1893800,371200,34334500,4205300,3983600,322200,2414500,10225100,6003000,853300,26056700,95560500
"2016-06-21",8757300,449800,2785000,2629400,2809700,7597400,1395700,6912000,69700,1268600,1534400,2241900,1133700,1889400,440000,3181600,5176100,5243700,488200,2716800,10778300,4661100,653200,21823000,72461700
"2016-06-20",8053100,622100,3854800,2342700,4934300,9509700,1557600,5466700,111400,620400,1646600,2825300,695000,1463500,300000,3367300,2227700,3707600,476500,5388700,12358900,7421100,587700,26077300,82789600
"2016-06-17",15387400,1856700,6384400,5034700,7978000,13328500,2693800,16782000,256500,1036700,2430300,2947300,1296800,2393000,687700,5671500,2566800,7739800,389800,4469600,19218400,8458200,1084700,34921800,117055700
"2016-06-16",7994200,882100,3991600,3093100,3174000,17231400,943700,5979000,64300,1475100,1178000,4120500,1063500,2632000,303900,4227200,2110100,3418100,408000,2601200,11947200,6402600,3172000,31068700,149533100
"2016-06-15",9781200,783800,4644900,2306100,3277300,7003900,1440000,6149400,52100,905700,1699300,3637200,1296800,2010500,336700,4252400,2373000,4481900,478400,4223200,12308000,4723400,1552400,23350400,109124500
"2016-06-14",11153800,1111700,3821300,2276600,5939400,7375800,1616200,4760200,118600,1164400,2822300,2144800,1190600,2039800,450300,3914400,3281900,3799400,463100,2590800,12616700,4920900,8101000,15842400,125059300
"2016-06-13",7546600,860600,4192000,2749100,3182900,8008900,1934300,4242400,150300,966300,1456600,2338500,1803900,1883700,515700,3150800,3023500,2775400,745300,2195200,9947500,5173000,352400,18163900,117751200
"2016-06-10",12905400,1450000,4325700,2945200,2357200,8044300,2525800,5077600,87300,6819900,3105900,3635900,715800,1933900,328600,3488400,4705400,4671000,377000,2700600,15206600,6918500,153400,21021400,113829200
"2016-06-09",20794400,603400,5877900,1940800,1709000,5823500,2007300,7127500,166300,1288200,3110700,2304400,1087400,1842000,477700,3353700,1393900,4059300,417200,2067900,19032400,5311400,311300,18027700,73786900
"2016-06-08",30432700,609000,4667800,3048500,1620300,9518100,1954600,8075000,505200,819900,1992600,2690800,1131100,2759300,474000,4765700,2241100,4888000,555100,1879200,14204600,7012500,53200,26500300,66170900
"2016-06-07",9997800,806400,5806500,2799800,1911600,9766400,1929200,8602800,148800,794100,1330300,3359600,1259700,2486000,433700,3709600,2590000,5521900,776500,2168800,16242300,4857100,88100,18247700,60974800
"2016-06-06",9532200,493800,4479800,2231700,2032600,7977200,862300,9824800,124700,751500,1060400,2925300,908400,2963400,269600,4727700,2359700,6288200,627900,2525800,15254000,3583800,178000,23410200,64887000
